day,run,weight,tetris,mood,energy,appetite,gre
1,1,21,11092,3,3,0,1
2,1,21,14745,3,1,2,0
3,0,20,11558,3,3,0,1
4,0,21,11747,3,1,1,1
5,0,21,14319,2,3,3,1
6,1,19,7126,3,2,0,1
7,0,20,16067,3,4,0,0
8,0,20,3939,3,2,0,1
9,1,21,28230,4,2,0,0
10,0,21,17396,4,4,1,1
11,1,20,36152,1,4,0,0
12,0,20,16567,4,4,1,1
13,0,20,,,,,
14,1,18,11853,4,2,0,1
15,1,18,20433,4,2,2,1
16,1,18,20701,3,4,0,0
17,0,20,,,,,1
18,1,19,17509,3,3,1,1
19,0,21,9779,3,3,1,0
20,0,22,18598,3,3,1,1
21,1,20,36665,2,3,0,1
22,0,21,8094,4,3,1,1
23,1,19,48769,2,5,0,0
24,1,20,22601,4,4,1,1
25,1,19,37950,4,4,0,1
26,1,20,56047,4,4,0,1
